timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-05-03,169.5,170.92,167.16,167.45,167.45,65136018,0.0000,1.0
2023-05-02,170.09,170.35,167.54,168.54,168.54,48425696,0.0000,1.0
2023-05-01,169.28,170.45,168.64,169.59,169.59,52472936,0.0000,1.0
2023-04-28,168.49,169.85,167.8801,169.68,169.68,55275851,0.0000,1.0
2023-04-27,165.19,168.56,165.19,168.41,168.41,64902329,0.0000,1.0
2023-04-26,163.055,165.28,162.8,163.76,163.76,44105745,0.0000,1.0
2023-04-25,165.19,166.305,163.73,163.77,163.77,48714063,0.0000,1.0
2023-04-24,165.0,165.6,163.89,165.33,165.33,41949581,0.0000,1.0
2023-04-21,165.05,166.4521,164.49,165.02,165.02,58337341,0.0000,1.0
2023-04-20,166.09,167.87,165.56,166.65,166.65,52456377,0.0000,1.0
2023-04-19,165.8,168.16,165.54,167.63,167.63,47720166,0.0000,1.0
2023-04-18,166.1,167.41,165.65,166.47,166.47,49923008,0.0000,1.0
2023-04-17,165.09,165.39,164.03,165.23,165.23,40713618,0.0000,1.0
2023-04-14,164.59,166.32,163.82,165.21,165.21,49386480,0.0000,1.0
2023-04-13,161.63,165.8,161.42,165.56,165.56,68445649,0.0000,1.0
2023-04-12,161.22,162.06,159.78,160.1,160.1,50133062,0.0000,1.0
2023-04-11,162.35,162.36,160.51,160.8,160.8,47644217,0.0000,1.0
2023-04-10,161.42,162.03,160.08,162.03,162.03,47716882,0.0000,1.0
2023-04-06,162.43,164.9584,162.0,164.66,164.66,45390123,0.0000,1.0
2023-04-05,164.74,165.05,161.8,163.76,163.76,51511744,0.0000,1.0
2023-04-04,166.595,166.84,165.11,165.63,165.63,46278295,0.0000,1.0
2023-04-03,164.27,166.29,164.22,166.17,166.17,56976187,0.0000,1.0
2023-03-31,162.44,165.0,161.91,164.9,164.9,68749792,0.0000,1.0
2023-03-30,161.53,162.47,161.271,162.36,162.36,49501689,0.0000,1.0
2023-03-29,159.37,161.05,159.35,160.77,160.77,51305691,0.0000,1.0
2023-03-28,157.97,158.49,155.98,157.65,157.65,45992152,0.0000,1.0
2023-03-27,159.94,160.77,157.87,158.28,158.28,52390266,0.0000,1.0
2023-03-24,158.86,160.34,157.85,160.25,160.25,59256343,0.0000,1.0
